t|lon|lat|id|v|r
0|23.53735|37.85671666666666|0|0.0,0.0|0.001661
0|23.641016666666665|37.9483|1|0.0,-0.0|0.003806
0|23.66863333333333|37.93884|2|0.0,0.0|0.002625
1|23.547661666666666|37.913111666666666|3|0.08358,0.0549|0.002653
2|23.68382|37.92875833333333|4|-0.0,-0.0|0.004826
2|23.566554999999997|37.960955|5|0.09617,-0.02739|0.001855
2|23.53207666666667|37.8798|6|0.0,0.0|0.001684
3|23.68271833333333|37.9309|7|0.0,0.0|0.00336
3|23.519545|37.8284|8|-5.48165,14.81862|0.00274
4|23.506661666666666|38.03645|9|-0.0,-0.0|0.004888
4|23.60213666666667|37.95521833333333|10|-9.71812,1.88894|0.004654
5|23.570281666666666|37.95497833333333|11|0.08481,-0.05299|0.004812
5|23.64135|37.94781666666667|12|0.0,-0.0|0.002387
5|23.55530333333333|37.92550000000001|13|0.0,0.0|0.003024
6|23.683000000000003|37.931|14|-0.09976,0.00697|0.001283
6|23.58305666666667|37.95290833333333|15|-0.0,-0.0|0.003072
6|23.65036833333333|37.931734999999996|16|0.09945,-0.01045|0.004388
7|23.60099833333333|37.94438333333333|17|-4.24374,9.71343|0.003099
8|23.601533333333336|37.94998333333333|18|0.0788,0.06157|0.003718
9|23.624454999999998|37.941008333333336|19|-0.0,-0.0|0.001359
10|23.68178|37.93292|20|-0.01392,0.09903|0.002768
11|23.57946333333333|37.95779166666667|21|-0.0,-0.0|0.00275
12|23.568614999999998|37.917723333333335|22|-0.02957,-0.09553|0.002599
13|23.546778333333336|37.866721666666656|23|0.0,-0.0|0.003389
14|23.54878333333333|37.95030333333333|24|-0.01668,-0.0986|0.001339
14|23.53305666666667|37.86814|25|0.0,0.0|0.002205
15|23.58914666666667|37.95386833333335|26|-0.0,-0.0|0.002868
16|23.63154333333333|37.941346666666654|27|0.0,0.0|0.003367
17|23.54114333333333|38.030985|28|-0.0,-0.0|0.004138
18|23.639713333333336|37.940453333333345|29|0.0,0.0|0.002515
19|23.55989666666667|37.96150333333333|30|0.0,-0.0|0.002936
19|23.56083333333333|37.899166666666666|31|0.02756,-0.09613|0.001896
20|23.51792833333333|37.88140166666667|32|0.0,-0.0|0.003465
21|23.68320333333333|37.928936666666665|33|-0.0,-0.0|0.003908
22|23.68333333333333|37.928916666666666|34|0.31467,-0.38857|0.004834
23|23.667955|37.93802166666667|35|0.0,0.0|0.002767
24|23.714286666666666|37.76467333333333|36|21.75709,-12.10946|0.002032
25|23.544421666666665|37.904986666666666|37|-0.01976,-0.09803|0.003719
26|23.66027|37.83504666666667|38|7.88232,-3.91268|0.001719
27|23.599926666666665|37.957303333333336|39|-0.0,0.0|0.003527
28|23.606885000000002|37.955505|40|0.0,-0.0|0.002986
29|23.55564833333333|37.882301666666656|41|0.0,-0.0|0.002743
30|23.68214|37.929541666666665|42|-0.0,-0.0|0.00296
30|23.68017666666667|37.931554999999996|43|-0.0,-0.0|0.001243
31|23.55601|37.906634999999994|44|-0.09403,-0.03404|0.001727
31|23.50891666666667|38.034650000000006|45|0.0,0.0|0.003656
32|23.55028333333333|37.95481666666667|46|0.0,0.0|0.004197
33|23.68246666666667|37.929266666666656|47|-0.0,0.0|0.002796
34|23.539885|37.87550333333333|48|0.03584,-0.09336|0.001479
35|23.55576333333333|38.03851|49|-0.0,-0.0|0.004552
36|23.59825|37.949333333333335|50|0.0,-0.0|0.002001
37|23.55735|37.91863333333333|51|-0.1,-0.0|0.003959
